texto,sentimiento
"- Universal Music Group (UMG), discográfica de artistas como Taylor Swift o Lady Gaga, ha anunciado que implementará un programa de recompra de acciones por importe total de 500 millones de euros, el primero de la compañía desde su salida a Bolsa en septiembre de 2021, ante la importante distorsión en la valoración de mercado de la compañía.",positivo
"15300 A Coruńa- Teléfono: 981779600- Web: www.gadisa.es- Facturación 2024: 1.640 millones de euros- Nş de empleados: 8.800TOJEIRO RODRÍGUEZ, RobertoPRESIDENTEGRUPO DINOSOL- Sede social: Ctra.",neutral
"28703 Madrid- Teléfono: 900400922- Web: www.ikea.com/es- Facturación 2024: 1.931 millones de euros- Nş de empleados: Más de 10.000AABY, CarlDIRECTOR GENERAL ESPAŃALA SIRENA- Sede social: C/ Ramon LLull, s/n. P. Ind.",neutral
"En tanto, la minería presentó un crecimiento de 1%, impulsado por una mayor extracción de litio y oro, y compensado en parte por una menor producción de cobre.",positivo
"En paralelo, el rendimiento del mismo título aumentó hasta ubicarse en torno a 7,27%, tras haber operado previamente cerca de 7,17%.",negativo
"Este aumento estará impulsado principalmente por las economías emergentes, donde factores como la urbanización, el crecimiento poblacional y la expansión industrial seguirán elevando el consumo.",positivo
"Las dos caras de las cuentas de la Seguridad Social: déficit a la baja, deuda en máximosEl sistema necesita un apoyo creciente por parte del Estado para cubrir los gastos aunque el déficit disminuya.",negativo
"La firma ha anunciado un ""Ayuntamiento de Inversores de Snap"" que se celebrará en vivo en X el 6 de abril a la 01:00 para discutir su plan de reestructuración.",neutral
"Aumentó la tasa de empleo, mejoró los salarios, aumentó los ingresos públicos, permitió primero mejorar significativamente las infraestructuras públicas y los estados del bienestar, y es imposible explicar el desarrollo económico de España sin el turismo.",positivo
"Además, el oro actúa como una cobertura contra la inflación.",positivo
"En total, Iberdrola invertirá 14.000 millones de euros hasta 2031 en redes de transporte para aumentar la capacidad del Reino Unido para trasladar electricidad entre regiones y reforzar la seguridad y la autonomía energéticas al reducir la dependencia de combustibles fósiles importados.",positivo
El Parlamento Europeo llega a un acuerdo sobre el euro digital y despeja su avance regulatorio,positivo
"Pese al tono positivo, varias instituciones advierten que parte del repunte reciente responde al cierre de posiciones bajistas más que a un cambio estructural en las perspectivas.",neutral
"- Acceder a ETFs de dividendos, covered call ETFs y ETFs sectoriales para diversificar y generar ingresos periódicos.",neutral
"Cuando las condiciones financieras se endurecían, era un indicio de que el crecimiento mundial se estaba ralentizando y, por lo tanto, los precios del petróleo descendían.",negativo
"Apollo Go es el mayor proveedor de robotaxi de China, con cientos de vehículos en más de una docena de ciudades, y está preparando una expansión internacional.",positivo
"El bono colombiano en dólares con vencimiento en 2035 reflejó una venta significativa, con una caída en su precio desde niveles cercanos a 105,51 centavos por dólar hasta aproximadamente 104,67 centavos por dólar.",negativo
"Los periodos de escasez de oferta y aumento de la demanda generan enormes beneficios, que a su vez financian agresivas inversiones de capital.",neutral
"28108 Madrid- Teléfono: 913248100- Web: www.novocure.com- Facturación 2024: 0,53 millones de eurosNÚNEZ, Álvaro'GENERAL MANAGER SOUTHERN EUROPE'ORYZON GENOMICS- Sede social: C/ Carrera San Jerónimo, 15.",neutral
"Amadeus es el farolillo rojo del IBEX 35 en lo que va de 2026, con una caída acumulada de más de un 20% en lo que va de año.",negativo
"Alrededor del 70% de los costes de producción de poliéster están vinculados a materias primas derivadas del petróleo, según el proveedor de inteligencia ICIS.",neutral
"Su dividendo se ajusta mensualmente y está diseñado para mantener las acciones cotizando cerca de su valor nominal de 100 dólares, a la vez que reduce la volatilidad.",neutral
La capacidad de adaptación del sistema y la revisión de esquemas tarifarios serán claves en los próximos días.,neutral
Centros de datos y autopistasLas nuevas perspectivas de UBS dan más recorrido al rally alcista de ACS.,positivo
Esto podría ir acompańado de una inflación de más del 5% a finales de este ańo.,negativo
"Sin embargo, al comparar con el trimestre previo, el dato implica una disminución de 0,3 pp.",neutral
"Respecto del aporte de los empleadores, la reforma establece que en agosto del presente año entrará en vigor el segundo de la nueva cotización, con un 0,1% a cuenta individual; 0,9% para cotización con rentabilidad protegida; y con 2,5% al seguro social previsional.",neutral
"Para ellos, el potencial alcista sigue siendo significativo si la guerra con Irán contribuyera a una mayor diversificación de los ""activos occidentales tradicionales"".",positivo
"Los salarios crecen menos del 4 % al año, lo que, junto con un sólido crecimiento de la productividad, es fácilmente compatible con una inflación del 2 %.",neutral
Además debían abonar una renta del 20% de los ingresos anuales brutos.,neutral
"El interés exigido a la deuda europea supera el 3,10%La rentabilidad exigida al bund alemán, la deuda europea de referencia, superó ayer la barrera del 3%, y hoy, en su ascenso, escala al 3,11%.",negativo
"Puig Brands, el más bajista al ceder un 1,36% y tras dispararse ayer casi un 13% ante una posible fusión con Estée Lauder.",negativo
"""Nos inclinamos por la cautela sobre las tradicionales con un rendimiento superior pronunciado de 14 puntos porcentuales en lo que va del año frente al resto de la cobertura, con el mercado descontando relativamente más buenas noticias para las tradicionales.",neutral
"“Este plazo fijo que ofrece el Banco Nación es como tener un pedacito de un departamento: me ofrece una renta actualizada por inflación, excepto que sin costos de gestión ni de mantenimiento, sin riesgos para el capital, y exento de impuestos”, explicó Sturzenegger en su comunicación pública.",positivo
"Sin duda, y además hacerlo en un sector intensivo en tecnología, innovación y empleo cualificado.",positivo
"“El liderazgo de Santiago y Sao Paulo en Latinoamérica no se entiende solo por el tamaño de sus economías, sino por su capacidad de ofrecer algo escaso en la región, previsibilidad”, dijo a Bloomberg Línea Renato Campos, CEO de Greyhound Trading.",positivo
Esto se aplicaría solo para delitos cometidos en los diez años siguientes a la adquisición de la nacionalidad lusa.,neutral
"IncertidumbreSegún el Banco de la República, «la guerra en Irán compromete el crecimiento y la estabilidad de la economía mundial», pero «sus efectos para la economía colombiana serían mixtos» porque de una parte mejoraría las cuentas del Gobierno por la subida del precio del petróleo, del cual el país andino es exportador.",negativo
"El desplome sufrido en Asia da paso a una mayor resistencia en Europa, y en el Ibex.",neutral
"Igual que sucedió el año pasado con los aranceles, el republicano vuelve a reescribir los plazos: donde antes concedió una tregua de seis días a Irán, ahora el ultimátum se estira hasta el 6 de abril.",neutral
"Con ella, los usuarios pueden analizar su cartera en detalle, identificar riesgos de concentración y simular escenarios económicos como inflación elevada o subidas de los tipos de interés.",neutral
"Compresión de la valoración: El múltiplo PER (precio/beneficio por acción) a futuro del S&P 500 se ha comprimido un 17%, un movimiento consistente con anteriores episodios de incertidumbre sobre el crecimiento que se produjeron sin recesión ni subidas de tipos por parte de la Reserva Federal.",neutral
"El valor ha pasado de ser el peor del día en el Ibex a estar entre los 20 más alcistas en una jornada en la que el selectivo ha anticipado el fin de la guerra con un rallyLa volatilidad en la acción ha sido provocada por la noticia de que Escribano presentaría su dimisión de todos sus cargos en la compańía en un consejo extraordinario, como así ocurrió tras el cierre de la Bolsa.",positivo
"28006 Madrid- Teléfono: 911500505- Web: www.odigo.com/es-es/- Facturación 2024: 160 millones de euros- Nş de empleados: 650LLOSÁ GUILLÉN, JavierCONSEJERO DELEGADOROYAL CANIN IBERIA- Actividad: Nutrición para gatos y perros- Sede social: Pl.",neutral
"El S&P 500 cayó un 1,7% el viernes, su décima caída diaria en lo que va de año con pérdidas superiores al 1%.",negativo
"28760 Madrid- Teléfono: 918061810- Web: www.revenga.com- Facturación 2024: 34,5 millones de euros- Nş de empleados: 241REVENGA SHANKLIN, ArturoCONSEJERO DELEGADOSENER- Sede social: C/ Severo Ochoa, 4.",neutral
"Los expertos destacan que su s�lido balance, con caja neta de 11.000 millones de euros (7% de la capitalizaci�n) le permite remunerar a sus accionistas e invertir.",positivo
"Además de la infracción de marca registrada, la demanda también acusa a Swift y a UMG Recordings, filial de Universal Music, de competencia desleal y falsa denominación, una ley muy específica que prohíbe que los bienes o servicios comercializados presenten información falsa sobre su origen a los consumidores.",negativo
"15707 A Coruńa- Teléfono: 981050000- Web: www.finsa.es- Facturación 2024: 1.208 millones euros (global)- Nş de empleados: 3.342 (global)VISO, GermánMIEMBRO COMITÉ DIRECTIVOGRUPO GARNICA PLAYWOOD- Sede social: Parque de San Miguel, 10, bj.",neutral
"Es recomendable incluir diferentes clases de activos, como acciones, bonos u otros metales preciosos, para minimizar el riesgo y aprovechar las oportunidades de crecimiento en distintos sectores y mercados económicos.",neutral
"Activos negociables: Banco Sabadell ofrece cerca de 240 fondos de inversión de diferentes tipos y sectores.Comisiones: En este caso, la comisión de gestión puede ser del 0% en el mejor de los casos y de alrededor del 1,30% en el peor.",neutral
"En el caso de la soja, la producción rondaría los 48 millones de toneladas, una cifra inferior a sus picos históricos debido a una reducción en la superficie sembrada, aunque con un rendimiento superior al alcanzado en la campaña anterior.",neutral
"Las similitudes con el disco de Taylor SwiftLas similitudes entre ‘Confessions of a Showgirl’ y ‘The Life of a Showgirl’ son «inmediatas», pues «comparten la misma estructura, la misma frase principal y la misma impresión comercial general», de acuerdo con la demanda a la que tuvo acceso CBS News.",negativo
"No obstante, aunque rompe con una racha de cinco meses al alza, no significa un cambio de tendencia.",neutral
"El fondo estará liderado por Joan Perelló, managing partner, y Arturo Urrios, partner, quienes aportan una sólida experiencia en innovación biomédica, venture capital y creación de compañías.",neutral
"- La Bolsa de París ha dado este viernes una buena acogida a los planes de fusión con el grupo estadounidense Brown Forman del gigante francés de licores y bebidas Pernod Ricard, que hoy ha volado un 8% en bolsa.",positivo
Analistas y expertos del sector prestan especial atención a los datos y la cotización del índice Dow Jones 30.,neutral
¿Banxico se equivocó al bajar la tasa de interés?,neutral
"""La política monetaria está bien posicionada para abordar los riesgos de ambos objetivos del doble mandato, y espero que el nivel actual de los tipos de interés siga siendo apropiado durante algún tiempo"", dijo Musalem en comentarios preparados para un evento en Washington.",neutral
"Aunque recientemente ha corregido ante el optimismo de un posible alto el fuego, con el Brent por debajo de los 100 dólaresVenimos de otra semana marcada por una elevada volatilidad en los mercados, donde tanto la renta fija como la renta variable han registrado fuertes movimientos intradía, muy condicionados por los titulares en torno al conflicto en Oriente Medio.",negativo
Este dinámico mundo requiere de estrategias específicas y un buen conocimiento del perfil de riesgo y los productos financieros adecuados para cada inversor.,neutral
"4şA. 28020 Madrid- Teléfono: 913789980- Web: www.sinersis.es- Facturación 2024: 938 millones de euros- Nş de empleados: 6.000MORENO FIGUEROA, CarlosDIRECTOR GENERAL ESPAŃATRANSGOURMET IBÉRICA- Sede social: C/ Germans Miquel, s/n. P.I. Empordŕ Internacional.",neutral
"Los valores del grupo de los ‘7 Magníficos’, hace no tanto los grandes mimados del mercado, vieron evaporarse hasta 850.000 millones de dólares del mercado bursátil la semana pasada, encabezadas por la derrota de Meta y Alphabet en una demanda histórica sobre las responsabilidades de estas empresas en la lucha contra la adicción a las redes sociales.",negativo
"Su recomendación bajo criterios de valoración fundamental es positiva para los títulos de LLYC, para un horizonte de inversión de largo plazo.",positivo
"“Al analizar la máxima desagregación de productos publicada por elDane, las subclases, se observó que las de mayor contribución al crecimiento de la inflación en febrero fueron: el transporte urbano, las comidas fuera del hogar, la educación preescolar y básica primaria, la educación secundaria y el arriendo imputado”, agregó el informe.",neutral
"19:10Lotería Navidad 2025 | Más ventas que nuncaDe manera provisional y a falta de conocer los datos incluyendo las ventas que se hayan podido producir en las últimas horas, el Consejo Empresarial del Juego (CeJuego) ha calculado que aproximadamente 27 millones de personas han comprado este año un décimo, con un máximo histórico de ventas de 3.505 millones de euros.",positivo
"Más allá del euro digital, una solución pensada para los pagos cotidianos entre personas o en comercios, el BCE planteó hace unas semanas una transformación total de la fontanería financiera europea por la que circulan cada día millones de transacciones financieras.",neutral
CaixaBank se suma a la carrera de las criptos y obtiene la licencia MiCALa entidad ya ofrece inversión en ETP de activos digitales a sus clientesOtro banco se ha sumado a la carrera para entrar en el negocio cripto.,positivo
"28001 Madrid- Teléfono: 31208084600- Web: www.paloaltonetworks.es- Facturación 2024: 9.200 millones de dólares (global)- Nş de empleados: +16.000 (global)SARRIAS, Marc'Country manager' IberiaPHILIPS IBÉRICA- Sede social: C/ María de Portugal, 1.",neutral
"Después de semanas de batalla, en las que Escribano se enfrentó a la presión de la SEPI, principal accionista de Indra, con más de un 28% del capital, el directivo madrileño ha acabado cediendo a la voluntad del Gobierno.",negativo
"Las dos, si hay opción, prefiero invertir el dinero; es decir, no tener excelente de cash normalmente, pero sí también tener la capacidad de aumentar el nivel de exposición neta a renta variable si la situación lo requiere, conviene, hay oportunidades.",neutral
"La estrategia pretende captar un ciclo creciente de inversión en defensa en toda Asia a medida que los gobiernos amplían los presupuestos, refuerzan las cadenas de suministro nacionales y dan prioridad a la autonomía estratégica en medio de las crecientes tensiones geopolíticas y un renovado enfoque estratégico de EE.UU.El WisdomTree Global Defence UCITS ETF ofrece una exposición específica a empresas de todo el mundo que obtienen una parte significativa de sus ingresos de actividades de defensa.",neutral
"En la renta fija, siempre muy sensible a la política monetaria, la rentabilidad del bono estadounidense a diez años se relaja hoy al 4,331%, si bien sigue muy por encima de los niveles inferiores al 4% antes del inicio de la guerra.",neutral
"El gas natural cae más del 5 % y se sitúa en 48 eurosEl precio del gas natural para entrega a un mes en el mercado TTF de Países Bajos, el de referencia en Europa, registra este miércoles una caída que supera el 5 % y se sitúa en 48 dólares, ante la perspectiva de que la salida de EE.UU., de Irán pueda llegar pronto.",negativo
"Peores noticias para Inditex, que ve como Deutsche Bank le recorta el precio objetivo a 60 euros por acción, desde los 63 euros anteriores.",negativo
"La duración de la guerra y del bloqueo del Estrecho de Ormuz, según coinciden en seńalar las firmas de análisis, será clave en la escalada o desescalada de los precios del petróleo, y a su vez, en su impacto sobre la inflación, los tipos de interés y la economía.",negativo
"Pero este es su primer fondo de cobertura para particulares, y competirá con otras firmas de fondos de cobertura que han estado aprovechando cada vez más los canales de patrimonio privado en su intento por ampliar sus bases de inversores.",neutral
"28050 Madrid- Teléfono: 913840910- Web: www.abbvie.es- Facturación 2024: 56.334 millones de dólares (global)PASTRANA, FelipeDIRECTOR GENERALABILITY PHARMA- Sede social: Av. P. Tecn.",neutral
Las firmas pueden realizar un cambio en la composici�n de la cartera durante el trimestre y totalmente de un trimestre a otro.,neutral
"La combinación de mayores cuotas hipotecarias y pagos elevados por financiación a corto plazo reduce el colchón económico de las familias y limita su capacidad de reacción ante imprevistos"", añade.",negativo
"Así, ya se desprendió recientemente de un proyecto en el barrio madrileño de Cuatro Vientos, comprado por el fondo Hines, y otro en Valencia, adquirido por M&G. Desde la firma estadounidense se ha declinado hacer comentarios.",negativo
"El miércoles, la presidenta del BCE Christine Lagarde indicó que los tipos de interés podrían subir el próximo mes si existe el riesgo de que la inflación se descontrole.",negativo
"El cierre de posiciones cortas, por las que los inversores apuestan a la caída de una acción, también está siendo determinante en el ascenso bursátil.",neutral
"No obstante, el brent continúa al alza y ya supera los 114 dólares por barril.",negativo
"En el trimestre que terminó el 31 de diciembre, la empresa reportó un beneficio de 38.458 millones de dólares, un 59 % más con respecto al mismo periodo del año anterior, y unos ingresos de 81.273 millones, un 16,7 % más.",positivo
"Por lo tanto, son una excelente opción de inversión debido a su bajo costo, comisiones reducidas y la amplia variedad de activos que ofrecen, lo que le permite diversificar sus inversiones sin necesidad de gestionar múltiples activos.",positivo
"Este dividendo tendrá un valor de 0,115 euros brutos por acción.",neutral
"Al mismo tiempo, los bonos globales perdieron $2,5 billones de valor en marzo, en la mayor caída mensual desde 2022, mientras que el rendimiento del bono a 10 años alcanzó su nivel más alto desde julio de 2025.",negativo
"Esta cifra la convertiría en la mayor IPO de la historia, un récord que por ahora ostenta Aramco, la compañía petrolera estatal de Arabia Saudí, que en 2019 recaudó con su IPO unos 29.000 millones de dólares.",positivo
"El podio del primer trimestre lo cierra el peso argentino (USDARS), con un alza de 5,04%.",positivo
"Los conflictos geopolíticos con la guerra de Irán, la evolución del petróleo y la preocupación por la inflación siguen marcando el ritmo de las Bolsas.",negativo
"01470 Álava- Teléfono: 945897100- Web: www.tubosreunidos.com- Facturación 2024: 324 millones de euros (global)- Nş de empleados: 1.384 (global)CALVO, JosuPRESIDENTELÓPEZ DE LAS HERAS, CarlosCEOUNESID, UNIÓN DE EMPRESAS SIDERÚRGICAS- Sede social: C/ Castelló, 128.",neutral
"28034 Madrid- Teléfono: 911696147- Web: www.wible.es- Facturación 2023: 10 millones de eurosCAMPOS, RosaDIRECTORA GENERALVidrioAGC FLAT GLASS IBÉRICA- Sede social: C/ Mallorca, 272-274, 6ş, 5Ş. 08037 Barcelona- Teléfono: 934670773- Web: www.agc-yourglass.com- Facturación 2024: 90 millones de euros- Nş de empleados: 215SARRÓ, HéctorDIRECTOR GENERALBA GLASS SPAIN- Sede social: P. I. Los Varales, s/n. Villafranca de Los Barros.",neutral
"Ver más: Principio matemático de 800 años sugiere que el S&P 500 aún tiene más caídas por delantePara los inversores que vieron cómo el índice Nasdaq 100 caía en territorio de corrección este mes, con un descenso de más del 10 % desde su máximo —y el S&P 500 no muy lejos—, existe una gran preocupación de que puedan producirse más dificultades.",negativo
"“Me preocupa que recordemos principios del siglo XXI como una época con mucha más libertad en línea que la que podríamos tener en los próximos cinco o diez años”, añadió Edgar.Eric Talley, profesor de la Facultad de Derecho de Columbia, afirma que la aplicabilidad del artículo 230 a la demanda podría llevar el caso a la Corte Suprema.",neutral
"28003 Madrid- Teléfono: 914519718- Web: www.minorhotels.com/en- Propietarios y máximos accionistas: Minor International (95,8%)- Facturación 2024: 2.427 millones de euros- Nş de empleados: 15.222RAJAKARIER, DillipPRESIDENTEAGUILAR, GonzaloCONSEJERO DELEGADO EJECUTIVOPALLADIUM HOTEL GROUP- Sede social: Avd.",neutral
"Todo ello ha dado al traste con la integración con Escribano M&E, considerada clave para su crecimiento.",negativo
El Ibex sufre otro revés por el petróleo y la deudaLas últimas novedades en la guerra en Irán amenazan más con una escalada que con una desescalada.,negativo
Esta no es la única incursión del banco en los activos digitales.,neutral
"Pero en el mes, marzo marca el peor desde junio de 2022, de casi cuatro años, un descenso que ni la guerra de Ucrania ni los aranceles pudieron quebrar.",negativo
"""Los ataques parecen dirigirse cada vez más a zonas densamente pobladas, así como a grandes instalaciones de gas y petróleo"", advirtió en un comunicado donde hizo balance de las semanas de conflicto.",neutral
"Perú, como importador neto de energía y altamente dependiente de combustibles para su sector minero, principal generador de divisas, ha sufrido una doble presión: el encarecimiento de importaciones y la salida de capitales hacia activos refugio ante la incertidumbre global.",negativo
"Este último riesgo, el de un aumento más que significativo de la inflación, ya ha sido recogido por el mercado.",neutral
"Ocho comunidades autónomas cerraron 2025 con superávit, encabezadas por Navarra (2,04 % de su PIB) y Asturias (0,51 %); mientras que los déficits más abultados se concentraron en Murcia (1,56 %) y Comunidad Valenciana (1,54 %).",neutral
"Aproximadamente siete acciones subieron por cada una que bajó en el índice, gracias al optimismo de que el fin de la guerra aliviará los flujos de petróleo crudo y favorecerá el crecimiento económico.",positivo
"Según relató por medio de sus redes sociales, en ese entonces, el Banco de la República tenía una composición más amplia, con representación de sectores como la Federación de Cafeteros, cámaras de comercio y otros actores económicos; bajo un modelo que buscaba incorporar distintas voces en la toma de decisiones, pero con el tiempo evidenció limitaciones en el manejo de la política monetaria y en el control de variables clave como la inflación.",neutral
"En esa ecuación, la investigación y desarrollo será clave.",neutral
"Desde JP Morgan, estiman que el grupo podría obtener entre 650 y 750 millones de euros adicionales de ingresos en el primer año con el nuevo marco.",positivo
Los controles de precios han sido durante mucho tiempo objeto de controversia porque alteran un principio básico de la economía de libre mercado: la ley de la oferta y la demanda.,neutral
"Blackstone tira de rebajas y cierra la venta de Fidere a Brookfield en 1.050 millonesEl fondo acuerda con el gigante canadiense traspasar las viviendas en alquiler de Fidere por un importe un 11% inferior a la última valoración, porque el perímetro final es algo menorUna de cal y otra de arena.",neutral
"Inditex alcanzó un beneficio neto récord de 6.220 millones de euros en su ejercicio 2025-2026 (desde el 1 de febrero de 2025 al 31 de enero de 2026), lo que supone un incremento del 6% respecto al año anterior.",positivo
GLD es un ETF emitido por State Street Investment Management que cotiza y se negocia en el Bolsa de Nueva York.,neutral
La medida de Banxico “marca claramente un retroceso frente al reciente endurecimiento de las condiciones financieras impulsado por factores externos; los responsables parecían convencidos de que la postura de política monetaria es adecuada para protegerse de los retos y la incertidumbre derivados del conflicto en Oriente Medio”.,negativo
"En una segunda etapa, Apple podría lanzar un modelo de suscripción a servicios de IA para engordar su negocio de servicios, que ya aporta 109.158 millones de dólares, con un margen bruto del 75,4%.",positivo
Esta situación ha incrementado la aversión al riesgo en los mercados y ha elevado la volatilidad de los precios energéticos.,negativo
"Finalmente, el suministro directo de aluminio está en jaque, dado que Oriente Medio genera el 10% del total mundial y España depende de esa región para el 32% de sus importaciones, lo que ha disparado las primas físicas por encima de la cotización oficial del LME, que ya supera los 3.370$/tonelada.",negativo
"Su revalorización global, desde que saliera al mercado el 12 de diciembre de 1980, supera el 13.000% pero entre inflación y numerosos splits, podríamos indicar que, todavía, superaría el 1.000% en su nivel de avance en el mercado.",positivo
"Consideramos que los acontecimientos de la semana pasada ponen de relieve la calidad del posicionamiento defensivo del fondo:Por un lado, mantenemos una sensibilidad a tipos de interés limitada, por debajo de un año, en línea con el límite establecido en el folleto, lo que hace que la cartera sea menos sensible a subidas de tipos.",positivo
"El barril tipo West Texas, de referencia en Estados Unidos, ha registrado una subida del 52% en el mes, hasta los 101,87 dólares.",positivo
"28004 Madrid- Teléfono: 910605411- Web: www.showroomprive.es- Facturación 2024: 646,5 millones de euros (global)- Nş de empleados: Más de 1.000 (global)DAYAN, DavidCONSEJERO DELEGADOSOFTONIC- Sede social: C/ Roc Boronat, 117, 6Ş. 08018 Barcelona- Web: www.hello.softonic.com- Facturación 2022: 28,4 millones de euros- Nş de empleados: 98GARVEY, FionaCONSEJERA DELEGADASPOTAHOME- Sede social: C/ Piamonte, 23.",neutral
"Av. de Castilla, 2, 2Ş. 28830 Madrid- Teléfono: 610560245- Web: https://mydhl.express.dhl/es/es/home.html- Facturación 2024: 17.693 millones de euros (global)- Nş de empleados: 3.600PASCUAL, RobertoCONSEJERO DELEGADOFEDEX EXPRESS SPAIN- Sede social: Ed.",neutral
"El IBEX 35, el principal índice de la Bolsa española, sube un 3,1 % y se anota la mejor sesión en un año.",positivo
Constellation anunció planes para invertir 3.900 millones de dólares en gastos de capital de crecimiento y aumentó su autorización de recompra de acciones a 5.000 millones de dólares.,positivo
Las acciones de NVIDIA avanzan más de un 3%McCormick sube más de un 3% en la mañana neoyorquina después de que Unilever haya confirmado que está en conversaciones con el fabricante de especias para una posible fusión entre Unilever Foods y McCormick.,positivo
El escenario llevó al dólar a niveles cercanos a los $ 850 a mediados del trimestre.,neutral
"Atención al cliente en español: sí.Comisiones: desde 0,02 $/€ por acción o participación + 2 $/€ por orden en acciones y ETFs, y 0,65 $ por contrato en opciones, según el plan tarifario elegido.",neutral
No hay minoristasLa demanda minorista brilla por su ausencia... Lo que destaca es Nvidia.,neutral
The highest price paid per share was 436.700p and the lowest pricepaid per share was 393.200p.,neutral
"En los 25 años anteriores a 1991, la inflación oscilaba entre 20% y 30% y desde la creación del Emisor, esta ha venido bajando, y en los últimos años ha estado máximo en 5%, con excepciones recientes como 2021 y 2022"", consideró Villar.",neutral
"28010 Madrid- Teléfono: 915779272- Web: www.evercom.es- Facturación 2024: 10,2 millones de euros- Nş de empleados: 126SANTOS LEDO, AlberteCONSEJERO DELEGADO Y FUNDADORERNEST- Sede social: Pl.",neutral
"Madrid (EFE).- El precio del barril de petróleo brent, que registraba una caída del 5 % en la apertura del mercado este miércoles, con el barril por debajo de los 100 dólares, en 99, ante el optimismo generalizado de que el fin de la guerra de Irán pueda estar próximo, modera esta bajada a menos del 1 %, y se sitúa en 103 dólares.",neutral
"En lo que va de mes, el índice de bonos globales de Bloomberg —que sintetiza la evolución del precio de más de 30.000 referencias de deuda pública y privada de todo el mundo— ha perdido 3%.",negativo
El avance del Ibex 35 ha sido superior al del resto de plazas europeas.,positivo
"Europa Press EmpresasRovi mejora un 3% el beneficio y anuncia un dividendo de 0,9594 eurosRedacci�n: M� LUISA VERBOAl Drago |",positivo
"Durante la jornada anterior, el dólar registró una caída de $6,32 frente al cierre previo, con un mínimo de $3.661,65 y un promedio de negociación de $3.675,24.",neutral
"Y esa gestión dependerá no solo del capital, sino que entran en juego otros factores como el dominio de la técnica aplicada (experiencia), la psicología y el perfil de riesgo del inversor.",neutral
"Durante décadas, el valor de un departamento financiero se medía por su capacidad para procesar datos históricos.",neutral
"Morgan Stanley cree que la corrección del S&P 500 está llegando a su finEsto ha encaminado al S&P 500 hacia su peor trimestre en comparación con una versión de ponderación igual del índice desde 2001, cuando estalló la burbuja de las puntocom.",neutral
Nuestro consejo a los clientes cuando se trata de invertir en mercados frontera es que están invirtiendo en una clase de activos especializada.,neutral
"Lo hace, además, tras completar un primer cierre, ya que ha contado con la participación del Centro para el Desarrollo Tecnológico y la Innovación (CDTI), a través de su SICC Innvierte, para apoyar la inversión en empresas innovadoras de alto potencial.",positivo
"De acuerdo con el reporte, miles de contratos de crudo Brent y WTI cambiaron de manos apenas 15 minutos antes de que Trump afirmara en Truth Social que existían conversaciones “productivas” con Teherán y que ambas partes habían encontrado puntos de acuerdo.",neutral
"Japón activa un plan de emergencia ante los récords en el alza del crudoJapón ha reactivado ayudas para contener el precio de la gasolina tras alcanzar el récord de 190,8 yenes por litro (alrededor de 1,04 euros), ante el alza de los precios del crudo por el conflicto en Oriente Medio con el fin de ""limitar el precio minorista de la gasolina a unos 170 yenes (0,93 euros)"" ante el temor de que el conflicto se prolongue.",negativo
"28027 Madrid- Teléfono: 917438104- Web: www.vocento.com- Facturación 2024: 344 millones de euros- Nş de empleados: 2.980YBARRA, IgnacioPRESIDENTEMIRAT, ManuelCONSEJERO DELEGADOEducación y formaciónAFI GLOBAL EDUCATION- Sede social: C/ Marqués de Villamejor, 5.",neutral
"Lo primero a decir es que en la sesión anterior predominó un sesgo al alza, con un máximo de $3.678,90 y un comportamiento que reflejó la cautela de los inversionistas frente a los riesgos globales.",neutral
"El tipo de interés real, ajustado por la inflación esperada, ya se encontraba en el rango neutral antes del reciente aumento de los precios de la energía y ha disminuido aún más desde entonces, afirmó.",neutral
El regreso de la inflación en los últimos años ha recordado además que las carteras reaccionan de forma muy distinta ante shocks inflacionarios que ante los deflacionarios.,neutral
Señaló que la inflación sigue siendo un riesgo clave en la segunda mitad del año.,negativo
"En el plano operativo, la empresa confirmó la paralización de la producción y la aplicación de suspensiones masivas.",negativo
"Su entrada en corrección técnica, sin embargo, está precedida de unos precedentes claramente alcistas desde un enfoque menos cortoplacista, a doce meses vista.",positivo
"Activos negociables: entre los productos financieros destacan las acciones, estando disponibles en los principales mercados estadounidenses como el NASDAQ (EE.UU), Nueva York y NYSE American (EEUU).",neutral
"El presidente del banco central de Eslovenia, Primoz Dolenc, declaró a Reuters el miércoles que el escenario base del BCE ""parece ser más un escenario del mejor caso para el futuro"" y que ""probablemente el escenario adverso actual sea más probable que se convierta en nuestro próximo escenario base"".",negativo
"El Ibex busca el rebote tras el correctivo de ayer, y los futuros del índice cotizan un 0,2% al alza.",positivo
"A 01.04.2026, la cotización del GLD ETF es de 438,45, con un cierre anterior de 430,29.",neutral
"Hoy los futuros del petróleo West Texas Intermediate de EEUU suben un 1,78% hasta los 101,41 dólares por barril, mientras que el Brent de referencia internacional se paga a 107,71 dólares, con un alza del 2,27%.",negativo
"Una suspensión de la acción militar estadounidense contra Irán podría ayudar a aliviar las tensiones de manera más general, ya que Teherán ha afirmado en repetidas ocasiones que quiere que cesen las hostilidades antes de que comiencen las conversaciones directas.",neutral
"- Algunos tipos de renta fija, como los cat bonds o los ABS, están manteniendo el tipo perfectamente y, salvo sorpresa muy negativa en el crecimiento global esperado, seguirán haciéndolo.",neutral
